team,country_code,group,training_site,training_address,hotel_name,hotel_address,confirmed,source_notes
Portugal,PT,K,Gardens North County District Park,"5101 117th Ct N, Palm Beach Gardens, FL 33418",Four Seasons Resort Palm Beach,"2800 S Ocean Blvd, Palm Beach, FL 33480",FALSE,To confirm
DR Congo,CD,K,SaberCats Stadium,"2055 Mowery Rd, Houston, TX 77051",Omni Houston Hotel,"4 Riverway Dr, Houston, TX 77056",TRUE,FOX 5 DC
Uzbekistan,UZ,K,Children's Healthcare of Atlanta Training Ground,"861 Franklin Gateway SE, Marietta, GA 30067",JW Marriott Atlanta Buckhead,"3300 Lenox Rd NE, Atlanta, GA 30326",FALSE,To confirm
Colombia,CO,K,Academia Atlas FC,"Avenida Patria 1501, Interior 2, Zapopan, Jalisco 45136, MX",Grand Fiesta Americana Country Club,"Av. de las Américas 1551, Providencia, 44630 Guadalajara, Jal., Mexico",FALSE,To confirm
England,GB-ENG,L,Swope Soccer Village,"6310 Lewis Rd, Kansas City, MO 64132",The Inn at Meadowbrook Hotel,"4901 Meadowbrook Pkwy, Prairie Village, KS 66207",TRUE,Kansas City FWC26 official
Croatia,HR,L,Episcopal High School,"1200 N Quaker Ln, Alexandria, VA 22302","Hotel AKA, Alexandria","625 First St, Alexandria, VA 22314",TRUE,FOX 5 DC
Ghana,GH,L,Bryant University,"1150 Douglas Pike, Smithfield, RI 02917",Graduate by Hilton Providence,"11 Dorrance St, Providence, RI 02903",FALSE,To confirm
Panama,PA,L,Nottawasaga Resort & Conference Centre,"6015 ON-89, Alliston, ON L9R 1A4, Canada",Nottawasaga Resort & Conference Centre,"6015 ON-89, Alliston, ON L9R 1A4, Canada",,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,FALSE,Duplicate - merge with Columbus entry
